"state" "dist" "incum84" "demo84" "repb84" "dpct84" "dwin84" "incum86" "demo86" "repb86" "dpct86" "dwin86"
"425" 73 1 0 115001 147926 0.437387563848521 0 -1 92697 97969 0.486174776834884 0
"426" 73 2 1 142065 93472 0.60315364465031 1 1 124840 48077 0.721964873320726 1
"427" 73 3 1 150432 61219 0.710754969265442 1 1 114775 41275 0.735501441845562 1
"428" 73 4 -1 47158 150322 0.238798865707920 0 -1 41709 107593 0.279359954990556 0
"429" 73 5 1 154988 67438 0.696807027955365 1 1 121732 41179 0.747230082683183 1
"430" 73 6 1 124367 60721 0.671934431189488 1 1 90063 36410 0.712112466692496 1
"431" 73 7 1 174560 71576 0.70920141710274 1 1 124317 46831 0.726371327739734 1
"432" 73 8 -1 88379 146891 0.37564925404854 0 -1 57545 107824 0.34797936735422 0
"433" 81 98 -1 86052 113582 0.431048819339391 0 -1 74053 101799 0.421109796874645 0
"434" 82 1 1 114844 20608 0.847857543631692 1 0 63061 99683 0.387485867374527 0
"435" 82 2 1 112377 20000 0.848916352538583 1 1 123830 35371 0.777821747350833 1
